,J
2018-06-15,53.392555236816406
2018-06-18,54.178348541259766
2018-06-19,53.59934616088867
2018-06-20,54.26106643676758
2018-06-21,53.392555236816406
2018-06-22,53.59934616088867
2018-06-25,52.5240478515625
2018-06-26,52.78873825073242
2018-06-27,52.60676574707031
2018-06-28,52.44133377075195
2018-06-29,52.51577758789063
2018-07-02,52.937625885009766
2018-07-03,52.11874771118164
2018-07-05,53.318115234375
2018-07-06,53.79785919189453
2018-07-09,54.59192657470703
2018-07-10,55.013771057128906
2018-07-11,54.09563446044922
2018-07-12,54.25279235839844
2018-07-13,54.85661315917969
2018-07-16,54.136993408203125
2018-07-17,54.59192657470703
2018-07-18,55.32809066772461
2018-07-19,55.2867317199707
2018-07-20,54.6663703918457
2018-07-23,54.69118118286133
2018-07-24,55.48524856567383
2018-07-25,55.50178909301758
2018-07-26,55.94018173217773
2018-07-27,55.63413619995117
2018-07-30,55.40253448486328
2018-07-31,55.94018173217773
2018-08-01,55.46043395996094
2018-08-02,55.3529052734375
2018-08-03,55.4935188293457
2018-08-06,59.81124496459961
2018-08-07,59.68717193603516
2018-08-08,60.28271865844727
2018-08-09,60.01803207397461
2018-08-10,59.45557022094727
2018-08-13,58.80212020874024
2018-08-14,59.23223876953125
2018-08-15,58.620147705078125
2018-08-16,58.80212020874024
2018-08-17,59.43902587890625
2018-08-20,60.24136352539063
2018-08-21,60.43988037109375
2018-08-22,60.35716247558594
2018-08-23,60.17518997192383
2018-08-24,60.20000457763672
2018-08-27,60.22481918334961
2018-08-28,60.01803207397461
2018-08-29,60.911354064941406
2018-08-30,60.36543655395508
2018-08-31,60.12556076049805
2018-09-04,59.59618377685547
2018-09-05,60.11729049682617
2018-09-06,61.0767822265625
2018-09-07,60.89480972290039
2018-09-10,61.13468551635742
2018-09-11,61.36628723144531
2018-09-12,62.06109237670898
2018-09-13,62.226524353027344
