,EVRG
2021-05-04,64.25
2021-05-05,63.52999877929688
2021-05-06,63.70000076293945
2021-05-07,63.81999969482422
2021-05-10,64.04000091552734
2021-05-11,62.45000076293945
2021-05-12,61.5099983215332
2021-05-13,62.83000183105469
2021-05-14,62.66999816894531
2021-05-17,62.119998931884766
2021-05-18,62.290000915527344
2021-05-19,62.7599983215332
2021-05-20,61.900001525878906
2021-05-21,62.52999877929688
2021-05-24,62.630001068115234
2021-05-25,61.43000030517578
2021-05-26,61.380001068115234
2021-05-27,61.310001373291016
2021-05-28,61.9900016784668
2021-06-01,61.470001220703125
2021-06-02,61.79999923706055
2021-06-03,62.5099983215332
2021-06-04,62.720001220703125
2021-06-07,62.68000030517578
2021-06-08,62.59000015258789
2021-06-09,63.36000061035156
2021-06-10,64.01000213623047
2021-06-11,64.19000244140625
2021-06-14,63.91999816894531
2021-06-15,64.5199966430664
2021-06-16,64.22000122070312
2021-06-17,64.4800033569336
2021-06-18,62.540000915527344
2021-06-21,63.709999084472656
2021-06-22,61.880001068115234
2021-06-23,61.08000183105469
2021-06-24,61.380001068115234
2021-06-25,61.65999984741211
2021-06-28,61.720001220703125
2021-06-29,60.63999938964844
2021-06-30,60.43000030517578
2021-07-01,61.38999938964844
2021-07-02,61.58000183105469
2021-07-06,61.709999084472656
2021-07-07,61.81999969482422
2021-07-08,61.810001373291016
2021-07-09,61.790000915527344
2021-07-12,61.900001525878906
2021-07-13,61.4900016784668
2021-07-14,62.310001373291016
2021-07-15,63.22999954223633
2021-07-16,64.55999755859375
2021-07-19,64.11000061035156
2021-07-20,64.0
2021-07-21,63.90999984741211
2021-07-22,64.13999938964844
2021-07-23,65.08000183105469
2021-07-26,65.1500015258789
2021-07-27,66.30000305175781
2021-07-28,65.20999908447266
2021-07-29,65.36000061035156
2021-07-30,65.22000122070312
2021-08-02,65.80999755859375
2021-08-03,66.37999725341797
2021-08-04,66.23999786376953
2021-08-05,67.05000305175781
2021-08-06,66.72000122070312
2021-08-09,66.73999786376953
2021-08-10,66.91999816894531
2021-08-11,67.55000305175781
2021-08-12,67.41000366210938
2021-08-13,68.0999984741211
2021-08-16,68.80000305175781
2021-08-17,68.97000122070312
2021-08-18,68.87000274658203
2021-08-19,68.5999984741211
2021-08-20,69.26000213623047
2021-08-23,68.91000366210938
2021-08-24,68.4800033569336
2021-08-25,68.86000061035156
2021-08-26,69.11000061035156
2021-08-27,68.30999755859375
2021-08-30,67.91000366210938
2021-08-31,68.44999694824219
2021-09-01,68.62000274658203
2021-09-02,68.94999694824219
2021-09-03,68.5
2021-09-07,67.2300033569336
2021-09-08,68.41000366210938
2021-09-09,68.19000244140625
2021-09-10,66.69000244140625
2021-09-13,66.58000183105469
2021-09-14,65.76000213623047
2021-09-15,64.77999877929688
2021-09-16,64.55000305175781
2021-09-17,64.19999694824219
2021-09-20,64.26000213623047
2021-09-21,63.869998931884766
2021-09-22,62.83000183105469
2021-09-23,63.31999969482422
2021-09-24,63.150001525878906
2021-09-27,63.09000015258789
2021-09-28,62.52999877929688
2021-09-29,63.15999984741211
2021-09-30,62.20000076293945
2021-10-01,61.79999923706055
2021-10-04,62.619998931884766
2021-10-05,62.880001068115234
2021-10-06,63.43000030517578
2021-10-07,62.720001220703125
2021-10-08,62.0099983215332
2021-10-11,61.959999084472656
2021-10-12,62.09999847412109
2021-10-13,62.70000076293945
2021-10-14,63.63999938964844
2021-10-15,63.310001373291016
2021-10-18,63.04999923706055
2021-10-19,63.63999938964844
2021-10-20,64.3499984741211
2021-10-21,64.08999633789062
2021-10-22,64.63999938964844
2021-10-25,64.2300033569336
2021-10-26,64.37999725341797
2021-10-27,63.77000045776367
2021-10-28,64.18000030517578
2021-10-29,63.75
2021-11-01,63.959999084472656
2021-11-02,63.90999984741211
2021-11-03,63.81999969482422
2021-11-04,63.720001220703125
2021-11-05,64.87999725341797
