,DPZ
2023-01-27,355.1700134277344
2023-01-30,348.489990234375
2023-01-31,353.0
2023-02-01,359.7900085449219
2023-02-02,360.4700012207031
2023-02-03,359.6199951171875
2023-02-06,355.9800109863281
2023-02-07,357.20001220703125
2023-02-08,353.5899963378906
2023-02-09,354.9700012207031
2023-02-10,354.0599975585937
2023-02-13,355.04998779296875
2023-02-14,347.5799865722656
2023-02-15,360.1000061035156
2023-02-16,356.8299865722656
2023-02-17,357.3599853515625
2023-02-21,350.2300109863281
2023-02-22,348.4599914550781
2023-02-23,307.8599853515625
2023-02-24,297.4700012207031
2023-02-27,295.6300048828125
2023-02-28,294.010009765625
2023-03-01,301.7300109863281
2023-03-02,305.32000732421875
2023-03-03,304.760009765625
2023-03-06,316.32000732421875
2023-03-07,310.8500061035156
2023-03-08,312.1300048828125
2023-03-09,309.1199951171875
2023-03-10,300.1600036621094
2023-03-13,302.5899963378906
2023-03-14,307.1000061035156
2023-03-15,312.6000061035156
2023-03-16,313.94000244140625
2023-03-17,310.6700134277344
2023-03-20,317.17999267578125
2023-03-21,317.6400146484375
2023-03-22,312.2799987792969
2023-03-23,315.42999267578125
2023-03-24,311.510009765625
2023-03-27,322.2200012207031
2023-03-28,324.2300109863281
2023-03-29,327.5799865722656
2023-03-30,327.6499938964844
2023-03-31,329.8699951171875
2023-04-03,332.5199890136719
2023-04-04,328.9700012207031
2023-04-05,328.3800048828125
2023-04-06,330.5799865722656
2023-04-10,329.7099914550781
2023-04-11,332.44000244140625
2023-04-12,326.44000244140625
2023-04-13,332.6000061035156
2023-04-14,330.3800048828125
2023-04-17,329.8999938964844
2023-04-18,326.70001220703125
2023-04-19,325.6600036621094
2023-04-20,322.8999938964844
2023-04-21,330.5199890136719
2023-04-24,330.2699890136719
2023-04-25,329.6300048828125
2023-04-26,339.0299987792969
2023-04-27,317.1400146484375
2023-04-28,317.4700012207031
2023-05-01,311.25
2023-05-02,311.5899963378906
2023-05-03,314.8599853515625
2023-05-04,311.4100036621094
2023-05-05,311.1099853515625
2023-05-08,308.94000244140625
2023-05-09,308.6400146484375
2023-05-10,306.8900146484375
2023-05-11,306.92999267578125
2023-05-12,307.5799865722656
2023-05-15,307.8500061035156
2023-05-16,301.8500061035156
2023-05-17,305.04998779296875
2023-05-18,311.3599853515625
2023-05-19,312.4599914550781
2023-05-22,308.9100036621094
2023-05-23,304.2900085449219
2023-05-24,306.79998779296875
2023-05-25,304.5
2023-05-26,299.8299865722656
2023-05-30,291.3900146484375
2023-05-31,289.8500061035156
2023-06-01,296.6700134277344
2023-06-02,303.19000244140625
2023-06-05,297.8299865722656
2023-06-06,297.739990234375
2023-06-07,297.5599975585937
2023-06-08,299.8999938964844
2023-06-09,298.07000732421875
2023-06-12,301.8599853515625
