,NDSN
2021-09-24,243.88999938964844
2021-09-27,244.8099975585937
2021-09-28,241.94000244140625
2021-09-29,242.91000366210932
2021-09-30,238.1499938964844
2021-10-01,239.5
2021-10-04,240.58999633789065
2021-10-05,241.3999938964844
2021-10-06,238.5200042724609
2021-10-07,241.0500030517578
2021-10-08,237.97999572753903
2021-10-11,237.92999267578125
2021-10-12,236.9600067138672
2021-10-13,238.509994506836
2021-10-14,243.6999969482422
2021-10-15,244.72000122070312
2021-10-18,244.47999572753903
2021-10-19,247.88999938964844
2021-10-20,246.16000366210932
2021-10-21,251.3300018310547
2021-10-22,254.02999877929688
2021-10-25,256.1300048828125
2021-10-26,251.1699981689453
2021-10-27,249.22999572753903
2021-10-28,251.0500030517578
2021-10-29,254.2100067138672
2021-11-01,258.739990234375
2021-11-02,259.4700012207031
2021-11-03,259.7099914550781
2021-11-04,262.7200012207031
2021-11-05,261.2799987792969
2021-11-08,262.0799865722656
2021-11-09,262.95001220703125
2021-11-10,263.7699890136719
2021-11-11,264.989990234375
2021-11-12,267.45001220703125
2021-11-15,265.5199890136719
2021-11-16,267.79998779296875
2021-11-17,269.3299865722656
2021-11-18,268.5299987792969
2021-11-19,266.9599914550781
2021-11-22,267.510009765625
2021-11-23,267.989990234375
2021-11-24,269.0199890136719
2021-11-26,258.2200012207031
2021-11-29,262.1499938964844
2021-11-30,254.19000244140625
2021-12-01,251.6000061035156
2021-12-02,261.7300109863281
2021-12-03,260.1000061035156
2021-12-06,264.1099853515625
2021-12-07,264.8500061035156
2021-12-08,266.739990234375
2021-12-09,266.2300109863281
2021-12-10,270.6700134277344
2021-12-13,267.9100036621094
2021-12-14,264.5599975585937
2021-12-15,269.1199951171875
2021-12-16,248.8500061035156
2021-12-17,248.42999267578125
2021-12-20,245.5399932861328
2021-12-21,250.8600006103516
2021-12-22,249.8699951171875
2021-12-23,253.66000366210932
2021-12-27,256.6199951171875
2021-12-28,256.5899963378906
2021-12-29,256.8099975585937
2021-12-30,254.759994506836
2021-12-31,255.2700042724609
2022-01-03,251.02999877929688
2022-01-04,250.13999938964844
2022-01-05,242.9199981689453
2022-01-06,240.4199981689453
2022-01-07,238.08999633789065
2022-01-10,238.3300018310547
2022-01-11,240.1300048828125
2022-01-12,242.5500030517578
2022-01-13,239.0
2022-01-14,238.41000366210932
2022-01-18,234.32000732421875
2022-01-19,236.94000244140625
2022-01-20,233.2100067138672
2022-01-21,231.44000244140625
2022-01-24,234.6300048828125
2022-01-25,228.3300018310547
2022-01-26,225.8999938964844
2022-01-27,223.8800048828125
2022-01-28,227.7700042724609
2022-01-31,232.5399932861328
2022-02-01,234.4199981689453
2022-02-02,236.4900054931641
2022-02-03,231.94000244140625
2022-02-04,230.69000244140625
2022-02-07,229.4900054931641
2022-02-08,232.94000244140625
2022-02-09,236.2700042724609
2022-02-10,231.0
2022-02-11,217.7100067138672
2022-02-14,222.1100006103516
2022-02-15,229.92999267578125
2022-02-16,235.13999938964844
2022-02-17,228.8800048828125
2022-02-18,229.509994506836
2022-02-22,227.3800048828125
2022-02-23,221.5500030517578
2022-02-24,221.66000366210932
2022-02-25,227.4900054931641
2022-02-28,226.4900054931641
2022-03-01,223.2400054931641
2022-03-02,227.07000732421875
2022-03-03,228.8600006103516
2022-03-04,226.4499969482422
2022-03-07,217.63999938964844
2022-03-08,215.259994506836
2022-03-09,222.4499969482422
2022-03-10,215.0599975585937
2022-03-11,215.0500030517578
2022-03-14,214.5599975585937
2022-03-15,219.13999938964844
2022-03-16,222.8600006103516
2022-03-17,226.5599975585937
2022-03-18,230.97000122070312
2022-03-21,229.47999572753903
2022-03-22,230.3800048828125
2022-03-23,228.9499969482422
2022-03-24,227.08999633789065
2022-03-25,227.3999938964844
2022-03-28,228.5500030517578
2022-03-29,232.6199951171875
2022-03-30,229.91000366210932
2022-03-31,227.0800018310547
2022-04-01,227.92999267578125
2022-04-04,227.17999267578125
2022-04-05,223.0399932861328
2022-04-06,223.6999969482422
2022-04-07,224.69000244140625
2022-04-08,224.4199981689453
2022-04-11,221.92999267578125
2022-04-12,217.6499938964844
2022-04-13,218.88999938964844
2022-04-14,214.7400054931641
