,RVTY
2018-01-08,76.7699966430664
2018-01-09,77.9000015258789
2018-01-10,77.13999938964844
2018-01-11,77.62000274658203
2018-01-12,78.88999938964844
2018-01-16,78.52999877929688
2018-01-17,79.6500015258789
2018-01-18,79.54000091552734
2018-01-19,80.86000061035156
2018-01-22,81.19999694824219
2018-01-23,81.43000030517578
2018-01-24,81.41999816894531
2018-01-25,82.75
2018-01-26,82.75
2018-01-29,82.18000030517578
2018-01-30,81.05000305175781
2018-01-31,80.16000366210938
2018-02-01,80.0199966430664
2018-02-02,78.08000183105469
2018-02-05,74.77999877929688
2018-02-06,76.0
2018-02-07,75.7699966430664
2018-02-08,72.05999755859375
2018-02-09,72.83000183105469
2018-02-12,74.5
2018-02-13,74.22000122070312
2018-02-14,75.45999908447266
2018-02-15,76.43000030517578
2018-02-16,76.38999938964844
2018-02-20,75.87000274658203
2018-02-21,76.18000030517578
2018-02-22,75.95999908447266
2018-02-23,77.0199966430664
2018-02-26,77.87000274658203
2018-02-27,76.94999694824219
2018-02-28,76.33999633789062
2018-03-01,74.2699966430664
2018-03-02,74.7300033569336
2018-03-05,74.51000213623047
2018-03-06,75.61000061035156
2018-03-07,77.0
2018-03-08,77.19999694824219
2018-03-09,79.22000122070312
2018-03-12,78.77999877929688
2018-03-13,78.08000183105469
2018-03-14,77.08999633789062
2018-03-15,77.5999984741211
2018-03-16,77.33999633789062
2018-03-19,76.88999938964844
2018-03-20,77.66999816894531
2018-03-21,77.19999694824219
2018-03-22,75.23999786376953
2018-03-23,73.95999908447266
2018-03-26,76.27999877929688
2018-03-27,75.5199966430664
2018-03-28,74.87000274658203
2018-03-29,75.72000122070312
2018-04-02,74.08000183105469
2018-04-03,75.33999633789062
2018-04-04,75.5
2018-04-05,75.9000015258789
2018-04-06,73.19999694824219
2018-04-09,74.1500015258789
2018-04-10,75.43000030517578
2018-04-11,74.33000183105469
2018-04-12,74.55999755859375
2018-04-13,74.41999816894531
2018-04-16,75.37000274658203
2018-04-17,75.80000305175781
2018-04-18,76.4000015258789
2018-04-19,75.0999984741211
2018-04-20,74.5999984741211
2018-04-23,75.06999969482422
2018-04-24,73.0199966430664
2018-04-25,73.23999786376953
2018-04-26,74.19999694824219
2018-04-27,74.11000061035156
2018-04-30,73.36000061035156
2018-05-01,72.44999694824219
2018-05-02,72.16999816894531
2018-05-03,72.16999816894531
