,WRB
2022-08-15,44.186668395996094
2022-08-16,44.400001525878906
2022-08-17,45.36666870117188
2022-08-18,45.393333435058594
2022-08-19,45.060001373291016
2022-08-22,43.79333114624024
2022-08-23,43.65999984741211
2022-08-24,44.206668853759766
2022-08-25,44.98666763305664
2022-08-26,44.36000061035156
2022-08-29,44.09999847412109
2022-08-30,43.49333190917969
2022-08-31,43.20000076293945
2022-09-01,43.31999969482422
2022-09-02,43.18000030517578
2022-09-06,43.79999923706055
2022-09-07,44.573333740234375
2022-09-08,45.34000015258789
2022-09-09,45.08666610717773
2022-09-12,45.34000015258789
2022-09-13,44.47999954223633
2022-09-14,44.86666870117188
2022-09-15,45.16666793823242
2022-09-16,44.62666702270508
2022-09-19,45.040000915527344
2022-09-20,44.25333404541016
2022-09-21,43.34000015258789
2022-09-22,42.959999084472656
2022-09-23,42.560001373291016
2022-09-26,41.040000915527344
2022-09-27,41.71333312988281
2022-09-28,42.29999923706055
2022-09-29,43.45333480834961
2022-09-30,43.0533332824707
2022-10-03,44.2599983215332
2022-10-04,45.43999862670898
2022-10-05,45.31999969482422
2022-10-06,45.19333267211914
2022-10-07,44.61333465576172
2022-10-10,45.060001373291016
2022-10-11,45.37333297729492
2022-10-12,45.413333892822266
2022-10-13,47.65999984741211
2022-10-14,46.73333358764648
2022-10-17,47.53333282470703
2022-10-18,47.86666870117188
2022-10-19,47.63999938964844
2022-10-20,46.84000015258789
2022-10-21,47.56666564941406
2022-10-24,48.380001068115234
2022-10-25,46.04666519165039
2022-10-26,46.66666793823242
2022-10-27,47.43333435058594
2022-10-28,48.8466682434082
2022-10-31,49.58666610717773
2022-11-01,50.19333267211914
