,WSM
2017-08-01,23.11000061035156
2017-08-02,23.02499961853028
2017-08-03,22.3700008392334
2017-08-04,22.88999938964844
2017-08-07,23.604999542236328
2017-08-08,23.48500061035156
2017-08-09,23.30500030517578
2017-08-10,22.674999237060547
2017-08-11,22.8700008392334
2017-08-14,23.145000457763672
2017-08-15,22.11000061035156
2017-08-16,22.34000015258789
2017-08-17,22.2450008392334
2017-08-18,21.78499984741211
2017-08-21,21.89999961853028
2017-08-22,21.424999237060547
2017-08-23,21.700000762939453
2017-08-24,22.479999542236328
2017-08-25,22.690000534057617
2017-08-28,22.915000915527344
2017-08-29,23.045000076293945
2017-08-30,22.979999542236328
2017-08-31,23.0
2017-09-01,23.25
2017-09-05,23.48500061035156
2017-09-06,23.63500022888184
2017-09-07,23.690000534057617
2017-09-08,23.64999961853028
2017-09-11,23.815000534057617
2017-09-12,24.59000015258789
2017-09-13,24.440000534057617
2017-09-14,24.225000381469727
2017-09-15,24.545000076293945
2017-09-18,24.31999969482422
2017-09-19,24.059999465942383
2017-09-20,23.65999984741211
2017-09-21,23.30500030517578
2017-09-22,23.38999938964844
2017-09-25,24.684999465942383
2017-09-26,25.0
2017-09-27,25.684999465942383
2017-09-28,25.334999084472656
2017-09-29,24.93000030517578
2017-10-02,24.8700008392334
2017-10-03,25.239999771118164
2017-10-04,25.26499938964844
2017-10-05,25.63500022888184
2017-10-06,26.09499931335449
2017-10-09,25.795000076293945
2017-10-10,25.70499992370605
2017-10-11,25.350000381469727
2017-10-12,24.44499969482422
2017-10-13,25.0
2017-10-16,24.940000534057617
2017-10-17,25.3700008392334
2017-10-18,25.39999961853028
2017-10-19,25.63500022888184
2017-10-20,26.459999084472656
2017-10-23,26.440000534057617
2017-10-24,26.84000015258789
2017-10-25,26.40999984741211
2017-10-26,26.229999542236328
2017-10-27,26.209999084472656
2017-10-30,26.040000915527344
2017-10-31,25.799999237060547
2017-11-01,25.7549991607666
2017-11-02,25.11000061035156
2017-11-03,24.934999465942383
2017-11-06,24.96500015258789
2017-11-07,23.924999237060547
2017-11-08,24.14999961853028
2017-11-09,24.479999542236328
2017-11-10,25.125
2017-11-13,25.674999237060547
2017-11-14,25.75
2017-11-15,25.38999938964844
2017-11-16,26.434999465942383
2017-11-17,22.88999938964844
2017-11-20,23.309999465942383
2017-11-21,22.795000076293945
2017-11-22,23.13999938964844
2017-11-24,23.09499931335449
2017-11-27,22.934999465942383
2017-11-28,23.51000022888184
2017-11-29,25.729999542236328
2017-11-30,25.57999992370605
2017-12-01,25.80500030517578
2017-12-04,27.125
2017-12-05,26.89999961853028
2017-12-06,26.71999931335449
2017-12-07,26.75
2017-12-08,26.6200008392334
2017-12-11,26.0
2017-12-12,25.450000762939453
2017-12-13,26.14999961853028
2017-12-14,25.19499969482422
2017-12-15,25.350000381469727
2017-12-18,26.36000061035156
2017-12-19,26.780000686645508
2017-12-20,26.95499992370605
2017-12-21,26.11000061035156
2017-12-22,26.2549991607666
2017-12-26,26.655000686645508
2017-12-27,26.6299991607666
2017-12-28,26.290000915527344
2017-12-29,25.850000381469727
2018-01-02,26.350000381469727
2018-01-03,26.530000686645508
2018-01-04,26.34000015258789
2018-01-05,26.64999961853028
2018-01-08,26.96500015258789
2018-01-09,26.7450008392334
2018-01-10,26.61000061035156
2018-01-11,27.225000381469727
2018-01-12,27.7450008392334
2018-01-16,26.924999237060547
2018-01-17,27.19499969482422
2018-01-18,27.299999237060547
2018-01-19,27.645000457763672
2018-01-22,27.729999542236328
2018-01-23,27.559999465942383
2018-01-24,26.834999084472656
2018-01-25,26.575000762939453
2018-01-26,26.70499992370605
2018-01-29,26.46999931335449
2018-01-30,26.045000076293945
2018-01-31,25.614999771118164
2018-02-01,25.46500015258789
2018-02-02,24.815000534057617
2018-02-05,24.565000534057617
2018-02-06,25.64999961853028
2018-02-07,25.89999961853028
2018-02-08,25.38500022888184
2018-02-09,25.905000686645508
2018-02-12,26.200000762939453
2018-02-13,26.3700008392334
2018-02-14,27.315000534057617
2018-02-15,26.934999465942383
2018-02-16,27.05500030517578
2018-02-20,26.2450008392334
2018-02-21,26.30500030517578
2018-02-22,26.625
2018-02-23,27.084999084472656
2018-02-26,26.565000534057617
2018-02-27,25.63999938964844
2018-02-28,25.8799991607666
2018-03-01,25.979999542236328
2018-03-02,26.434999465942383
2018-03-05,26.280000686645508
2018-03-06,26.71999931335449
2018-03-07,26.239999771118164
2018-03-08,26.145000457763672
2018-03-09,26.43000030517578
2018-03-12,26.02499961853028
2018-03-13,26.3700008392334
2018-03-14,26.850000381469727
2018-03-15,27.51499938964844
2018-03-16,27.65999984741211
2018-03-19,26.950000762939453
2018-03-20,26.63999938964844
2018-03-21,26.5
2018-03-22,25.375
2018-03-23,25.05500030517578
2018-03-26,25.799999237060547
2018-03-27,25.700000762939453
2018-03-28,25.920000076293945
2018-03-29,26.3799991607666
2018-04-02,24.8799991607666
2018-04-03,25.01000022888184
2018-04-04,25.61000061035156
2018-04-05,25.989999771118164
2018-04-06,25.14999961853028
2018-04-09,24.725000381469727
2018-04-10,25.239999771118164
2018-04-11,25.07999992370605
2018-04-12,24.434999465942383
2018-04-13,24.02499961853028
