,ITW
2019-07-31,154.22999572753906
2019-08-01,151.41000366210938
2019-08-02,151.6699981689453
2019-08-05,146.67999267578125
2019-08-06,148.97999572753906
2019-08-07,149.02000427246094
2019-08-08,150.85000610351562
2019-08-09,149.52999877929688
2019-08-12,147.86000061035156
2019-08-13,151.8800048828125
2019-08-14,146.58999633789062
2019-08-15,146.6199951171875
2019-08-16,150.22000122070312
2019-08-19,153.02999877929688
2019-08-20,152.16000366210938
2019-08-21,152.1300048828125
2019-08-22,151.80999755859375
2019-08-23,146.36000061035156
2019-08-26,145.3000030517578
2019-08-27,145.0
2019-08-28,145.3000030517578
2019-08-29,148.14999389648438
2019-08-30,149.86000061035156
2019-09-03,145.05999755859375
2019-09-04,146.7899932861328
2019-09-05,151.47999572753906
2019-09-06,152.49000549316406
2019-09-09,153.7100067138672
2019-09-10,157.36000061035156
2019-09-11,159.5399932861328
2019-09-12,159.85000610351562
2019-09-13,159.77000427246094
2019-09-16,156.7899932861328
2019-09-17,157.47999572753906
2019-09-18,157.3000030517578
2019-09-19,155.8699951171875
2019-09-20,155.05999755859375
2019-09-23,154.3000030517578
2019-09-24,152.22000122070312
2019-09-25,154.61000061035156
2019-09-26,155.32000732421875
2019-09-27,154.94000244140625
2019-09-30,156.49000549316406
2019-10-01,152.72999572753906
2019-10-02,149.13999938964844
2019-10-03,149.8300018310547
2019-10-04,151.5
2019-10-07,150.1999969482422
2019-10-08,146.39999389648438
2019-10-09,148.19000244140625
2019-10-10,149.89999389648438
2019-10-11,154.52999877929688
2019-10-14,153.94000244140625
2019-10-15,155.77000427246094
2019-10-16,155.75999450683594
2019-10-17,156.9600067138672
2019-10-18,158.30999755859375
2019-10-21,159.49000549316406
2019-10-22,161.5800018310547
2019-10-23,161.6300048828125
2019-10-24,160.1300048828125
2019-10-25,171.80999755859375
2019-10-28,169.94000244140625
2019-10-29,172.42999267578125
2019-10-30,170.2100067138672
2019-10-31,168.5800018310547
2019-11-01,172.7899932861328
2019-11-04,175.5
2019-11-05,176.17999267578125
2019-11-06,177.5500030517578
2019-11-07,176.50999450683594
2019-11-08,176.41000366210938
2019-11-11,175.24000549316406
2019-11-12,174.77000427246094
2019-11-13,173.3800048828125
2019-11-14,173.66000366210938
2019-11-15,175.16000366210938
2019-11-18,175.83999633789062
2019-11-19,174.4600067138672
2019-11-20,172.44000244140625
2019-11-21,172.6199951171875
2019-11-22,173.55999755859375
2019-11-25,175.17999267578125
2019-11-26,175.3699951171875
2019-11-27,175.11000061035156
2019-11-29,174.3300018310547
2019-12-02,172.0800018310547
2019-12-03,170.7100067138672
2019-12-04,171.63999938964844
2019-12-05,172.75
2019-12-06,174.19000244140625
2019-12-09,174.42999267578125
2019-12-10,174.4499969482422
2019-12-11,176.8699951171875
2019-12-12,179.10000610351562
2019-12-13,177.27000427246094
2019-12-16,177.47000122070312
2019-12-17,177.8000030517578
2019-12-18,178.88999938964844
2019-12-19,178.4600067138672
2019-12-20,180.3099975585937
2019-12-23,181.07000732421875
2019-12-24,180.17999267578125
2019-12-26,181.27999877929688
2019-12-27,181.1300048828125
2019-12-30,179.91000366210938
2019-12-31,179.6300048828125
2020-01-02,181.67999267578125
2020-01-03,179.11000061035156
2020-01-06,178.5399932861328
2020-01-07,177.80999755859375
2020-01-08,178.74000549316406
2020-01-09,179.6300048828125
2020-01-10,178.24000549316406
2020-01-13,179.82000732421875
2020-01-14,178.63999938964844
2020-01-15,178.41000366210938
2020-01-16,179.7899932861328
2020-01-17,180.42999267578125
2020-01-21,177.8800048828125
2020-01-22,177.50999450683594
2020-01-23,179.60000610351562
2020-01-24,176.3000030517578
2020-01-27,173.3699951171875
2020-01-28,175.86000061035156
2020-01-29,175.80999755859375
2020-01-30,177.89999389648438
2020-01-31,174.97999572753906
2020-02-03,176.4600067138672
2020-02-04,182.02999877929688
2020-02-05,185.759994506836
2020-02-06,186.07000732421875
2020-02-07,183.5399932861328
2020-02-10,183.83999633789065
2020-02-11,187.1300048828125
2020-02-12,189.6699981689453
2020-02-13,189.07000732421875
2020-02-14,187.8600006103516
2020-02-18,186.47999572753903
2020-02-19,187.52999877929688
2020-02-20,190.0
2020-02-21,189.5800018310547
2020-02-24,183.0599975585937
2020-02-25,177.58999633789062
2020-02-26,175.99000549316406
2020-02-27,170.1300048828125
2020-02-28,167.77999877929688
2020-03-02,173.27999877929688
2020-03-03,168.86000061035156
2020-03-04,177.39999389648438
2020-03-05,167.7100067138672
2020-03-06,164.11000061035156
2020-03-09,154.52000427246094
2020-03-10,164.6199951171875
2020-03-11,158.42999267578125
2020-03-12,140.19000244140625
2020-03-13,156.4499969482422
2020-03-16,149.22000122070312
2020-03-17,159.5
2020-03-18,141.75999450683594
2020-03-19,136.3300018310547
2020-03-20,125.77999877929688
2020-03-23,118.08999633789062
2020-03-24,137.6999969482422
2020-03-25,143.52999877929688
2020-03-26,150.49000549316406
2020-03-27,143.3000030517578
2020-03-30,142.35000610351562
2020-03-31,142.1199951171875
2020-04-01,137.27000427246094
2020-04-02,141.60000610351562
2020-04-03,140.41000366210938
2020-04-06,151.0399932861328
2020-04-07,152.27000427246094
2020-04-08,158.8000030517578
2020-04-09,159.27999877929688
2020-04-13,151.92999267578125
2020-04-14,156.05999755859375
2020-04-15,152.6999969482422
2020-04-16,153.32000732421875
2020-04-17,158.5800018310547
2020-04-20,155.2100067138672
2020-04-21,151.77000427246094
2020-04-22,155.5399932861328
2020-04-23,155.1199951171875
2020-04-24,158.22999572753906
2020-04-27,163.22999572753906
2020-04-28,166.47999572753906
2020-04-29,167.50999450683594
2020-04-30,162.5
2020-05-01,159.4499969482422
2020-05-04,158.33999633789062
2020-05-05,159.69000244140625
2020-05-06,158.77999877929688
2020-05-07,156.9499969482422
2020-05-08,161.00999450683594
2020-05-11,161.88999938964844
2020-05-12,154.7100067138672
